DEPARTMENT,DATE ,CARBON (metric tonne),ELECTRICITY (kwh),WATER (m3)
Finance,1/1/2019,55.81,45.81,32.6
Logistics,1/1/2019,50.02,46.94,37.3
IT,1/1/2019,11.44,79.4,32
Finance,2/1/2019,55.31,47.8,32.7
Logistics,2/1/2019,50.25,45.51,37.4
IT,2/1/2019,13.15,78.97,31.9
Finance,3/1/2019,55.16,47.62,32.6
Logistics,3/1/2019,48.63,44.49,37.3
IT,3/1/2019,13.53,79.77,31.9
Finance,4/1/2019,56.2,45.76,32.5
Logistics,4/1/2019,48.37,44.61,37.5
IT,4/1/2019,12.48,81.48,31.9
Finance,5/1/2019,56.21,44.71,32.5
Logistics,5/1/2019,48.7,43.28,37.5
IT,5/1/2019,12.29,79.67,31.8
Finance,6/1/2019,55.47,45.39,32.8
Logistics,6/1/2019,46.75,43.13,37.6
IT,6/1/2019,14.12,80.11,31.9
Finance,7/1/2019,53.47,45.43,32.9
Logistics,7/1/2019,47.87,43.82,37.9
IT,7/1/2019,14.52,80.44,31.9
Finance,8/1/2019,55.52,44.4,33
Logistics,8/1/2019,47.25,43.67,38.1
IT,8/1/2019,16.04,82.46,32.1
Finance,9/1/2019,55.92,44,33
Logistics,9/1/2019,46.34,45.32,38.1
IT,9/1/2019,17.84,82.81,32.4
Finance,10/1/2019,54.52,43.08,33.3
Logistics,10/1/2019,45.57,43.97,38.2
IT,10/1/2019,18.68,81.85,32.7
Finance,11/1/2019,55.11,42.46,33.4
Logistics,11/1/2019,46.71,43.02,38.4
IT,11/1/2019,20.22,80.19,32.6
Finance,12/1/2019,57.11,43.79,33.4
Logistics,12/1/2019,47.16,43.88,38.6
IT,12/1/2019,19.02,80.9,32.8
Finance,13/1/2019,56.44,44.33,33.4
Logistics,13/1/2019,46.42,42.13,38.8
IT,13/1/2019,20.49,80.14,33.1
Finance,14/1/2019,56.19,44.15,33.4
Logistics,14/1/2019,48.51,43.48,38.8
IT,14/1/2019,18.52,81.29,33
Finance,15/1/2019,54.63,43.85,33.7
Logistics,15/1/2019,46.66,42.15,38.9
IT,15/1/2019,17.35,79.63,33.2
Finance,16/1/2019,54.59,44.9,34
Logistics,16/1/2019,48.11,41.63,39.2
IT,16/1/2019,17.73,77.95,33.4
Finance,17/1/2019,56.44,43.64,34.1
Logistics,17/1/2019,46.44,39.67,39.1
IT,17/1/2019,16.67,79.21,33.3
Finance,18/1/2019,55.82,45.52,34.2
Logistics,18/1/2019,46.96,40.66,39.1
IT,18/1/2019,15.26,78.69,33.3
Finance,19/1/2019,57.63,47.08,34.5
Logistics,19/1/2019,46.88,42.56,39.2
IT,19/1/2019,13.73,77.47,33.2
Finance,20/1/2019,59.52,45.28,34.8
Logistics,20/1/2019,48.83,41.7,39.1
IT,20/1/2019,15.8,77.27,33.1
Finance,21/1/2019,58.66,43.7,35
Logistics,21/1/2019,47.05,40.52,39
IT,21/1/2019,14.54,76.26,33.1
Finance,22/1/2019,60.49,45.28,35.3
Logistics,22/1/2019,46.3,42.54,39.1
IT,22/1/2019,14.65,77.47,33.1
Finance,23/1/2019,61.81,45.84,35.6
Logistics,23/1/2019,46.66,40.54,39.4
IT,23/1/2019,14.65,75.67,33.4
Finance,24/1/2019,60.76,45.36,35.6
Logistics,24/1/2019,44.69,39.94,39.3
IT,24/1/2019,16.57,74.56,33.6
Finance,25/1/2019,59.01,44.23,35.8
Logistics,25/1/2019,43.55,41.03,39.4
IT,25/1/2019,15.72,76.55,33.5
Finance,26/1/2019,60.58,43.03,36.1
Logistics,26/1/2019,43.15,40.94,39.6
IT,26/1/2019,16.79,78.34,33.5
Finance,27/1/2019,59.33,42.07,36.3
Logistics,27/1/2019,44.38,39.01,39.5
IT,27/1/2019,17.68,79.98,33.5
Finance,28/1/2019,61.36,42.94,36.6
Logistics,28/1/2019,45.99,38.6,39.4
IT,28/1/2019,19.1,80.95,33.7
Finance,29/1/2019,60.26,42.2,36.7
Logistics,29/1/2019,45.56,38.5,39.7
IT,29/1/2019,19.17,79.84,33.6
Finance,30/1/2019,58.51,43.11,36.9
Logistics,30/1/2019,43.91,38.45,39.6
IT,30/1/2019,18.44,79.89,33.9
Finance,31/1/2019,57.14,41.63,36.8
Logistics,31/1/2019,42.41,39.72,39.7
IT,31/1/2019,17.91,79,34
Finance,1/2/2019,56.3,40.78,37.1
Logistics,1/2/2019,44.25,38.98,39.6
IT,1/2/2019,17.06,77.86,34.3
Finance,2/2/2019,56.67,40.96,37.4
