DEPARTMENT,DATE ,CARBON (metric tonne),ELECTRICITY (kwh),WATER (m3)
Finance,1/1/2018,18,15,0.8
Logistics,1/1/2018,28,23,1.4
IT,1/1/2018,30,35,1.9
Finance,2/1/2018,18.06,13.36,0.7
Logistics,2/1/2018,29.04,23.59,1.4
IT,2/1/2018,28.35,34.99,1.8
Finance,3/1/2018,16.18,12.87,1
Logistics,3/1/2018,29.1,24.83,1.6
IT,3/1/2018,27.53,36.04,1.8
Finance,4/1/2018,15.33,14.44,1.1
Logistics,4/1/2018,28.41,23.23,1.9
IT,4/1/2018,27.32,34.46,1.7
Finance,5/1/2018,15.29,14.78,1
Logistics,5/1/2018,29.8,22.04,1.9
IT,5/1/2018,28.04,33.65,1.9
Finance,6/1/2018,14.41,12.78,0.9
Logistics,6/1/2018,29.6,21.23,2.1
IT,6/1/2018,28.08,32.11,2.1
Finance,7/1/2018,12.93,14.77,1.1
Logistics,7/1/2018,30.22,21.6,2
IT,7/1/2018,29.98,33.29,2
Finance,8/1/2018,14.58,16.7,1.3
Logistics,8/1/2018,28.39,20.85,2.2
IT,8/1/2018,29.38,31.3,2
Finance,9/1/2018,16.24,18.79,1.6
Logistics,9/1/2018,26.96,21.71,2.2
IT,9/1/2018,30.99,30.01,2.1
Finance,10/1/2018,15.77,20.09,1.5
Logistics,10/1/2018,28.3,19.82,2.1
IT,10/1/2018,31.62,29.94,2.2
Finance,11/1/2018,16.32,18.73,1.5
Logistics,11/1/2018,27.13,19.77,2.4
IT,11/1/2018,33.48,32.03,2.4
Finance,12/1/2018,14.32,19.94,1.6
Logistics,12/1/2018,28.87,19.24,2.3
IT,12/1/2018,35.26,31.24,2.6
Finance,13/1/2018,16.03,20.13,1.9
Logistics,13/1/2018,27.25,18.91,2.5
IT,13/1/2018,35.84,31.08,2.8
Finance,14/1/2018,15.39,19.01,2.2
Logistics,14/1/2018,26.98,19.81,2.8
IT,14/1/2018,35.81,29.28,2.7
Finance,15/1/2018,16.35,17.08,2.5
Logistics,15/1/2018,28.07,21.36,3
IT,15/1/2018,34.27,29.61,2.8
Finance,16/1/2018,16.36,16.33,2.7
Logistics,16/1/2018,26.83,23.33,3
IT,16/1/2018,33.68,30.33,3
Finance,17/1/2018,17.03,16.23,2.6
Logistics,17/1/2018,26.51,23.27,2.9
IT,17/1/2018,32.07,29.92,2.9
Finance,18/1/2018,17.05,14.23,2.5
Logistics,18/1/2018,27.25,24.52,2.8
IT,18/1/2018,33.9,31.12,2.8
Finance,19/1/2018,16.07,12.5,2.7
Logistics,19/1/2018,25.29,22.62,2.7
IT,19/1/2018,32.4,30.93,3.1
Finance,20/1/2018,15.85,10.66,3
Logistics,20/1/2018,24.43,24.03,2.7
IT,20/1/2018,33.18,30.98,3.3
Finance,21/1/2018,15.95,12.59,3.1
Logistics,21/1/2018,23.31,22.97,2.6
IT,21/1/2018,31.46,32.43,3.4
Finance,22/1/2018,14.72,13.18,3.2
Logistics,22/1/2018,21.5,23.4,2.7
IT,22/1/2018,29.62,33.23,3.3
Finance,23/1/2018,13.67,12.45,3.4
Logistics,23/1/2018,23.36,22.28,2.7
IT,23/1/2018,31.18,34.77,3.3
Finance,24/1/2018,14.42,13.15,3.6
Logistics,24/1/2018,24.72,21.78,2.9
IT,24/1/2018,33.06,35.78,3.5
Finance,25/1/2018,13.71,13.47,3.6
Logistics,25/1/2018,26.14,20.67,3.1
IT,25/1/2018,32.97,37.04,3.6
Finance,26/1/2018,13.39,13.76,3.7
Logistics,26/1/2018,26.37,21.25,3
IT,26/1/2018,33.01,37.94,3.9
Finance,27/1/2018,15.41,15.74,3.9
Logistics,27/1/2018,27.29,20.65,3.1
IT,27/1/2018,33.28,36.79,4.1
Finance,28/1/2018,13.82,14.47,3.9
Logistics,28/1/2018,27.63,22.32,3.3
IT,28/1/2018,34.87,37.41,4.2
Finance,29/1/2018,13.02,13.17,4
Logistics,29/1/2018,26.69,23.79,3.3
IT,29/1/2018,33.05,37.68,4.3
Finance,30/1/2018,14.17,14.11,4.2
Logistics,30/1/2018,28.4,25.8,3.5
IT,30/1/2018,32.97,39.74,4.3
Finance,31/1/2018,16.04,12.87,4.1
Logistics,31/1/2018,28.48,25.52,3.4
IT,31/1/2018,33.62,41.6,4.6
Finance,1/2/2018,16.43,13.19,4.3
Logistics,1/2/2018,27,25.11,3.4
IT,1/2/2018,35.22,43.46,4.8
Finance,2/2/2018,16.89,12.38,4.6
Logistics,2/2/2018,29.1,24.12,3.3
IT,2/2/2018,34.33,44.05,4.8
Finance,3/2/2018,15,13.59,4.6
Logistics,3/2/2018,28.84,23.31,3.3
IT,3/2/2018,33.14,43.82,4.8
Finance,4/2/2018,13.06,15.23,4.7
Logistics,4/2/2018,29.48,23.03,3.2
IT,4/2/2018,33.8,42.39,4.7
Finance,5/2/2018,13.97,17.08,4.7
Logistics,5/2/2018,30.09,22.08,3.2
IT,5/2/2018,33.39,40.87,4.6
Finance,6/2/2018,12.16,17.05,4.8
Logistics,6/2/2018,29.94,23.53,3.2
IT,6/2/2018,33.99,39.31,4.7
Finance,7/2/2018,12.5,17.47,4.8
Logistics,7/2/2018,31.26,21.76,3.4
IT,7/2/2018,32.38,38.83,5
Finance,8/2/2018,10.83,18.07,4.9
Logistics,8/2/2018,31.28,20.57,3.6
IT,8/2/2018,34.45,40.57,5.1
Finance,9/2/2018,10.74,17.57,5.1
Logistics,9/2/2018,32.02,19.37,3.7
IT,9/2/2018,33.13,40.09,5.2
Finance,10/2/2018,11.98,19.42,5.2
Logistics,10/2/2018,33.41,20.43,4
IT,10/2/2018,32.45,40.36,5.2
Finance,11/2/2018,13.52,20.77,5.2
Logistics,11/2/2018,33.8,21.59,4.3
IT,11/2/2018,32.29,41.01,5.2
